cbsa,metro,lds_congregations,lds_adherents,lds_pct_of_pop,lds_rank_adherents,lds_rank_pct,nevermarried_20_34,nm_men,nm_women,nm_women_per_100_men
41620,"Salt Lake City-Murray, UT",1476,653868,52.0,1,7,169697,94903,74794,78.8
39340,"Provo-Orem-Lehi, UT",1356,554604,82.6,2,1,88092,49959,38133,76.3
38060,"Phoenix-Mesa-Chandler, AZ",617,301196,6.2,4,44,691293,379282,312011,82.3
14260,"Boise City, ID",265,115016,15.0,8,21,89916,50807,39109,77.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",134,72147,1.1,17,372,898116,466362,431754,92.6
35620,"New York-Newark-Jersey City, NY-NJ",107,62194,0.3,21,854,2982294,1542179,1440115,93.4
39940,"Rexburg, ID",97,35114,53.0,25,6,11770,6243,5527,88.5
