cbsa,name,cong,adherents,pct_pop,rank_adherents,rank_pct
25780,"Henderson, NC Micro Area",1,357,0.838461177133731,720,552
28620,"Kill Devil Hills, NC Micro Area",1,357,0.9670865501828526,721,443
29900,"Laurinburg, NC Micro Area",1,357,1.0446538303973782,722,406
32000,"Marion, NC Micro Area",1,357,0.8008434653865135,723,586
40460,"Rockingham, NC Micro Area",1,357,0.8312764867508032,724,558
47820,"Washington, NC Micro Area",1,357,0.7995162590701423,725,588
11660,"Arkadelphia, AR Micro Area",1,354,1.6506574652615873,726,222
14180,"Blytheville, AR Micro Area",1,354,0.8700995452869608,727,526
15780,"Camden, AR Micro Area",1,354,1.2924896856402206,728,312
20980,"El Dorado, AR Micro Area",1,354,0.9064372407435859,729,492
25460,"Harrison, AR Micro Area",1,354,0.7937575676039285,730,591
25760,"Helena-West Helena, AR Micro Area",1,354,2.136648961854177,731,170
26260,"Hope, AR Micro Area",1,354,1.2475770925110132,732,325
31620,"Magnolia, AR Micro Area",1,354,1.5525634840577167,733,248
34260,"Mountain Home, AR Micro Area",1,354,0.850409589929613,734,546
37500,"Paragould, AR Micro Area",1,354,0.7740073465104075,735,615
13100,"Beatrice, NE Micro Area",1,350,1.6126059712495393,736,228
18100,"Columbus, NE Micro Area",1,350,1.0205271751807792,737,417
23340,"Fremont, NE Micro Area",1,350,0.9416955901740791,738,461
25580,"Hastings, NE Micro Area",1,350,1.1216151257811249,739,377
30420,"Lexington, NE Micro Area",1,350,1.3459467774188585,740,303
35740,"Norfolk, NE Micro Area",1,350,0.718037091744625,741,665
15020,"Brookhaven, MS Micro Area",1,348,0.9969347122353682,742,427
18420,"Corinth, MS Micro Area",1,348,1.001727115716753,743,424
24740,"Greenville, MS Micro Area",1,348,0.7746761052490985,744,612
24900,"Greenwood, MS Micro Area",1,348,0.907739259722983,745,490
32620,"McComb, MS Micro Area",1,348,0.8630096220613035,746,535
35020,"Natchez, MS-LA Micro Area",1,348,0.7216174183514774,747,660
46980,"Vicksburg, MS Micro Area",1,348,0.7781405124994409,748,608
10940,"Alma, MI Micro Area",1,345,0.826129642489404,749,561
10980,"Alpena, MI Micro Area",1,345,1.1934825474798492,750,343
13660,"Big Rapids, MI Micro Area",1,345,0.8687112856927028,751,530
15620,"Cadillac, MI Micro Area",1,345,0.7080554130323243,752,671
17740,"Coldwater, MI Micro Area",1,345,0.7690250100307611,753,621
21540,"Escanaba, MI Micro Area",1,345,0.9348833428176572,754,467
25880,"Hillsdale, MI Micro Area",1,345,0.7541642985179032,755,632
26340,"Houghton, MI Micro Area",1,345,0.8754789758164794,756,520
26500,"Huntingdon, PA Micro Area",1,345,0.7824548670960718,757,605
27020,"Iron Mountain, MI-WI Micro Area",1,345,1.130962137354532,758,371
30260,"Lewisburg, PA Micro Area",1,345,0.8083222042595065,759,582
30820,"Lock Haven, PA Micro Area",1,345,0.9212283044058744,760,479
41260,"St. Marys, PA Micro Area",1,345,1.1132623426911907,761,379
42300,"Sault Ste. Marie, MI Micro Area",1,345,0.9378822889764851,762,464
13340,"Bellefontaine, OH Micro Area",1,342,0.7410617551462622,763,643
15340,"Bucyrus-Galion, OH Micro Area",1,342,0.8138013087447947,764,576
15740,"Cambridge, OH Micro Area",1,342,0.8897445236484728,765,509
18740,"Coshocton, OH Micro Area",1,342,0.9341199606686332,766,468
27160,"Jackson, OH Micro Area",1,342,1.0473769638318071,767,404
47540,"Wapakoneta, OH Micro Area",1,342,0.7367196587824738,768,648
48940,"Wilmington, OH Micro Area",1,342,0.813936884192489,769,575
26220,"Hood River, OR Micro Area",1,341,1.422196271426784,770,283
45520,"The Dalles, OR Micro Area",1,341,1.2785901762279717,771,316
28540,"Ketchikan, AK Micro Area",1,339,2.4304559793518785,772,147
19420,"Dayton, TN Micro Area",1,337,1.025250988743535,773,415
20540,"Dyersburg, TN Micro Area",1,337,0.9157359854351784,774,483
29980,"Lawrenceburg, TN Micro Area",1,337,0.7631513394777961,775,626
30280,"Lewisburg, TN Micro Area",1,337,0.9819919575732852,776,434
32660,"McMinnville, TN Micro Area",1,337,0.8228945376407102,777,566
35460,"Newport, TN Micro Area",1,337,0.936137114919859,778,465
